"id","type","floor","rooms","availability","surfaceGross","terraceGarden","groundSurface","architectCost","constructionCost","price","btwArchitect","basisakte","registratierechten","btwConstructies","erelonen","aktekosten","btwAktekostenErelonen","hypKantoor","totalPrice"
"1-slpk","apartment",0,1,"available","64 -> 75",,,,,,,,,,,,,,230000
"2-slpk","apartment",0,2,"available","89 -> 99",,,,,,,,,,,,,,292000
